code	Company	Name	Email	Phone	Address	City	State	Postal Code	Country	Vat No	CF 1	CF 2	CF 3	CF 4	CF 5	CF 6
T02	BLUE PRINTER	BLUE PRINTER														
T03	BORKEO	BORKEO														
T04	CLINIC MEKONG PHNOM PENH	CLINIC MEKONG PHNOM PENH														
T05	LG COMPANY	LG COMPANY														
T06	OCEPO	OCEPO														
T07	OFFICE PRO	OFFICE PRO		023973737/095283737	No 16 St.290 Toul Svay Prey II											
T08	SREY MOM-LOK JUNK	SREY MOM-LOK JUNK														
T20	TC SURVEYING	TC SURVEYING		89616439	Phnom Penh Cambodia.											
T21	TIL	TIL														
T22	UMG COMPANY	UMG COMPANY														
T23	VUTHY CONTAINER	VUTHY CONTAINER														
T24	ZHONG HUI EQUIPENT	ZHONG HUI EQUIPENT														
T25	GARAGE 5919	GARAGE 5919														
T26	???? ???	???? ???														
T27	??? ???	??? ???														
T28	K.U.S Co Ltd	K.U.S Co Ltd		23980111	No 1669 St.38 Steng Meahchey											
T29	?????	?????														
F01	ACM CONSTRUCTION MATERIAL	ACM CONSTRUCTION MATERIAL														
F02	JIA HAO GRANITE	JIA HAO GRANITE														
F03	SOK HENG	SOK HENG														
F04	SY LEANG	SY LEANG														
F05	??? ??????	??? ??????														
F06	???? ????????	???? ????????														
F07	??? ??? ????????	??? ??? ????????														
L01	?? ?????	?? ?????														
I01	MEKONGNET	MEKONGNET														
I02	ONLINE INTERNET	ONLINE INTERNET														
I03	OPENNET	OPENNET														
I04	VIETTEL (CAMBODIA)	VIETTEL (CAMBODIA)														
I30	FORTE INSURANCE	FORTE INSURANCE														
M01	CHHIM CHIV	CHHIM CHIV		010477714/012383183	No 2100A St.68 Srahchak Doun Penh											
M02	I.T COMPUTER	I.T COMPUTER														
M03	KONG SINY	KONG SINY														
M04	SONG HENG	SONG HENG														
M05	YONG LY	YONG LY														
M06	??? ???????	??? ???????														
M07	?? ???	?? ???														
M08	?? ???	?? ???														
M09	?? ??	?? ??														
M10	????? ???????	????? ???????														
M11	??? ???????	??? ???????														
M12	??????????????	??????????????														
M13	??? ??????	??? ??????														
M14	????????	????????		012880356/069880066	Toul Tompong Market Chamkamorn											
M15	??? ???????	??? ???????														
M16	????	????		017888208/0979991999												
M17	YUN SOPHAL	YUN SOPHAL														
M30	HOUT KEAM	HOUT KEAM														
M50	CHEA SUNLY	CHEA SUNLY		12939319	No 253 St.182 Toek Laak II Toul Kork Phnom Penh Cambodia											
M51	NRSS COMLT	NRSS COMLT		12416185												
M80	NET CHINDA	NET CHINDA														
M81	???? ???????	???? ???????		012899465/015467696	St.115 Taktol Takmoa City											
M82	??? ??????????(??????)	??? ??????????(??????)		016833077/012661910	No 19BEo st.156 Vealvong 7makara											
M83	?? ?????	?? ?????														
M84	???? ???	???? ???														
M85	?? ??????	?? ??????		0955543395/078252272 (Acc)	No18Eo St.109 OusseyIII 7makara											
M86	???? ???	???? ???		012714992/016714992	Tropang Kong Samrong Tong											
M87	BUT SARATH (M)	BUT SARATH (M)														
M88	HUOR KIM CHEA	HUOR KIM CHEA														
M89	??? ?????	??? ?????														
M90	?? ???????	?? ???????		0974665599/0968844800	Samrong Ler Ang snuol											
M91	???? ?????	???? ?????														
M92	??? ???????	??? ???????														
M93	?? ????	?? ????														
O01	?? ????????	?? ????????														
O02	ANGKORTHOM BOOK CENTER	ANGKORTHOM BOOK CENTER														
O03	ASIA BOOK SHOP	ASIA BOOK SHOP														
O04	KING A4 PAPER	KING A4 PAPER														
O05	MOKOD REACH	MOKOD REACH														
O06	PHNOM PENH BOOK CENTER	PHNOM PENH BOOK CENTER														
O07	PHNOM PENH COMPUTER	PHNOM PENH COMPUTER														
O08	SREY THEA MARKET	SREY THEA MARKET		012267855/070888088	No 51 St.592 Boeung Kork II Toul Kork											
O09	???????? ??????????	???????? ??????????														
O10	IBC BOOK CENTER	IBC BOOK CENTER		023888989/023888687	Phnom Penh Cambodia											
O30	CloudNET	CloudNET														
O50	CELLCARD CAMBODIA	CELLCARD CAMBODIA														
O51	TELECOM CAMBODIA	TELECOM CAMBODIA		023220026/023211111	No 95-97 Preah Sihanouk Blvd Boeng Pralit											
O70	ONLINE REAL ESTATE	ONLINE REAL ESTATE														
O71	YELLOW PAGE	YELLOW PAGE		017468271/023993305	No 36 St.228 Chaktokmok											
E01	BOTICA PIANTING	BOTICA PIANTING														
E02	DULUX SERVICES	DULUX SERVICES														
E03	JOTUN	JOTUN		098900893/012658585	Phnom Penh Cambodia											
E04	???????? ???????	???????? ???????		23884066	Phnom Penh											
W01	CCW Co  Ltd	CCW Co  Ltd		023 887 879	No 19D Yothapol Khemarak Phoumin Blvd (271) Phnom Penh Cambodia.											
W02	GLOBAL CONSTRUCTION MATERIAL	GLOBAL CONSTRUCTION MATERIAL														
W03	HIEP HENG	HIEP HENG		092430016/010225000	No 51Eo St105 coner 300											
W04	???????????????	???????????????														
W05	??? ???????	??? ???????		012959839/016565604	Phnom Penh											
W50	LY SAMBATH	LY SAMBATH		012959444/0973338786	No 508 St.271 Psar Dermthkov											
W51	TANG NGUON CHHAY	TANG NGUON CHHAY														
W52	???? ?????	???? ?????														
Z01	EcoA E&C Co  Ltd	EcoA E&C Co  Ltd														
Z02	I.T.C.GENIE CIVIL	I.T.C.GENIE CIVIL														
Z03	LOAD TEST	LOAD TEST														
N01	CPAC CAMBODIA CO  LTD	CPAC CAMBODIA CO  LTD			No 100 Chak Angre Leu Meanchey											
N02	DIBP CONCRETE	DIBP CONCRETE		07756678/016510999	Diamond Island City.											
N03	GOLDEN BST	GOLDEN BST														
N04	KAMPOT CONCRETE B-C	KAMPOT CONCRETE B-C		011904676/0979259225	Kampong Kraeng Toek Chuo											
N05	LMYP CONCRETE	LMYP CONCRETE														
N06	U.P.C CONCRETE	U.P.C CONCRETE		16877330	Chambork  Samrong Tong											
N07	YONG SHENG CONCRETE	YONG SHENG CONCRETE														
N08	??? ????-?????	??? ????-?????		017 593 222	#137B	 Mao Tse Tung Blvd	 									
N09	??????? ?????	??????? ?????														
N10	??? ???	??? ???														
R01	IP HYBRID	IP HYBRID														
R02	OPS CAMBODIA	OPS CAMBODIA		012669396/016696788	N 51 St.310 Boeung Kengkorng I											
R03	??? ?????	??? ?????														
R04	??? ????????	??? ????????														
R40	PHO SOVANNARAT	PHO SOVANNARAT														
R41	HENG MENG HOR	HENG MENG HOR														
R42	HOUR HIM	HOUR HIM														
R43	NEW WORLD	NEW WORLD		012979618/016979618	No 4D St.178 Boengrang											
R44	SEAN SEN	SEAN SEN														
R45	SOK LENG CHEA	SOK LENG CHEA														
R46	??? ????	??? ????														
R47	?? ???????????	?? ???????????														
R48	??? ???????	??? ???????														
U01	LIONS SECURITY SERVICE CO  LTD	LIONS SECURITY SERVICE CO  LTD														
U02	SAHAS PPSEZ CO LTD	SAHAS PPSEZ CO LTD		889799909	No 44	 St.383	 Boeng Salang	 Tuol Kouk								
U03	SECURITY SAFETY FOR YOU Co Ltd	SECURITY SAFETY FOR YOU Co Ltd														
U04	CAMBODIA SURVEY SPECIALIST	CAMBODIA SURVEY SPECIALIST		017228427/098885505	No 03Eo St.1974 Sen Sok 											
U05	NRR SAFETY FIRST	NRR SAFETY FIRST														
U06	???? Sport	???? Sport		095908168/070484872	No 88Eo Maida 2004 Toek Thla Sen Sok											
S01	MEKONG MATERIAL	MEKONG MATERIAL														
S01	??? ???	??? ???														
S01	??? ???	??? ???														
S01	ELITE STEEL	ELITE STEEL														
S01	ISI STEEL	ISI STEEL														
S01	HAO XIN KHANG GRANITE	HAO XIN KHANG GRANITE														
S01	LIM KIMLY	LIM KIMLY														
S01	TS STEEL	TS STEEL														
S01	??? ???	??? ???														
S01	???? ????	???? ????														
S01	SAMPOV MEAS	SAMPOV MEAS														
S01	Y CHE	Y CHE														
S01	POSCO	POSCO		070 25 70 48 / 077 444 270	No. 12 St. 289 Sangkat Boeung Kak I											
S01	YI CHAKRIYA	YI CHAKRIYA		85218555	No 246 Monivong Blvd											
B01	SUB-??? ?????	SUB-??? ?????														
B02	SUB-??? ??????	SUB-??? ??????														
B03	SUB-??? ??	SUB-??? ??		012442402/0976233111	No 308 Toekthla Sen Sok											
B04	HCC GROUP	HCC GROUP														
B05	EUNG POLY	EUNG POLY														
B06	MY WINDOW	MY WINDOW														
B50	SUB-??? ???	SUB-??? ???														
B51	SUB-????????	SUB-????????														
B52	SUB-??? ???????	SUB-??? ???????														
B53	SUB-???????	SUB-???????														
B54	SUB-?????	SUB-?????														
B55	SUB-????	SUB-????														
B56	SUB-??? ????	SUB-??? ????														
B57	SUB-??? ????	SUB-??? ????														
B58	SUB-???? ????????	SUB-???? ????????														
B59	SUB-???? ????	SUB-???? ????														
PR1	HEA EAV	HEA EAV														
PR2	TRUCK FOR RENT TO LOAD HOUSEHOLD TOOLS	TRUCK FOR RENT TO LOAD HOUSEHOLD TOOLS														
PR3	????????? ??? ???	????????? ??? ???														
PR4	??? ?????	??? ?????		095755572/016779394	Preak Thmey Chba Aompov Phnom Penh											
PR5	??? ?????	??? ?????														
PR6	??? ????	??? ????														
G001																
